Well,All Events #Events,All Events %Parent,All Events FSC-A Geo Mean,All Events FSC-A Mean,All Events FSC-A Median,All Events FSC-W Geo Mean,All Events FSC-W Mean,All Events FSC-W Median,All Events SSC-A Geo Mean,All Events SSC-A Mean,All Events SSC-A Median,All Events CD33 640 670/30-A Geo Mean,All Events CD33 640 670/30-A Mean,All Events CD33 640 670/30-A Median,All Events CD45RA 640 730/45-A Geo Mean,All Events CD45RA 640 730/45-A Mean,All Events CD45RA 640 730/45-A Median,All Events CD34 640 780/60-A Geo Mean,All Events CD34 640 780/60-A Mean,All Events CD34 640 780/60-A Median,All Events CD90 561 582/15-A Geo Mean,All Events CD90 561 582/15-A Mean,All Events CD90 561 582/15-A Median,All Events CD49F 561 670/14-A Geo Mean,All Events CD49F 561 670/14-A Mean,All Events CD49F 561 670/14-A Median,All Events CD38 561 780/60-A Geo Mean,All Events CD38 561 780/60-A Mean,All Events CD38 561 780/60-A Median,All Events Lin 488 530/30-A Geo Mean,All Events Lin 488 530/30-A Mean,All Events Lin 488 530/30-A Median,All Events CD7/10 V405 450/50-A Geo Mean,All Events CD7/10 V405 450/50-A Mean,All Events CD7/10 V405 450/50-A Median,All Events L/D V405 525/50-A Geo Mean,All Events L/D V405 525/50-A Mean,All Events L/D V405 525/50-A Median,All Events CD45 V405 780/60-A Geo Mean,All Events CD45 V405 780/60-A Mean,All Events CD45 V405 780/60-A Median,All Events Time Geo Mean,All Events Time Mean,All Events Time Median
D1,1,,"100,116","100,116","100,116","85,359","85,359","85,359","78,286","78,286","78,286",154,154,154,28,28,28,"1,127","1,127","1,127",11,11,11,"2,256","2,256","2,256",,-22,-22,"1,267","1,267","1,267","1,109","1,109","1,109",196,196,196,"1,575","1,575","1,575","21,136","21,136","21,136"
D2,1,,"106,995","106,995","106,995","85,627","85,627","85,627","54,813","54,813","54,813",150,150,150,33,33,33,"1,236","1,236","1,236",37,37,37,"1,495","1,495","1,495",98,98,98,723,723,723,243,243,243,263,263,263,"1,611","1,611","1,611","21,348","21,348","21,348"
D3,1,,"123,096","123,096","123,096","90,341","90,341","90,341","46,342","46,342","46,342",142,142,142,7,7,7,896,896,896,184,184,184,"3,918","3,918","3,918",41,41,41,373,373,373,800,800,800,223,223,223,"1,776","1,776","1,776","21,569","21,569","21,569"
D4,1,,"126,945","126,945","126,945","93,506","93,506","93,506","65,328","65,328","65,328",75,75,75,6,6,6,"1,210","1,210","1,210",57,57,57,561,561,561,46,46,46,686,686,686,"1,073","1,073","1,073",196,196,196,"1,374","1,374","1,374","21,807","21,807","21,807"
D5,1,,"109,801","109,801","109,801","84,288","84,288","84,288","40,671","40,671","40,671",102,102,102,11,11,11,"1,022","1,022","1,022",32,32,32,"2,569","2,569","2,569",29,29,29,"1,024","1,024","1,024",380,380,380,121,121,121,"1,556","1,556","1,556","22,055","22,055","22,055"
D6,1,,"111,093","111,093","111,093","88,047","88,047","88,047","60,855","60,855","60,855",71,71,71,30,30,30,852,852,852,14,14,14,"1,638","1,638","1,638",,-5,-5,466,466,466,227,227,227,154,154,154,"1,329","1,329","1,329","22,262","22,262","22,262"
D7,1,,"118,630","118,630","118,630","85,378","85,378","85,378","43,090","43,090","43,090",,-327,-327,35,35,35,"1,780","1,780","1,780",423,423,423,"19,411","19,411","19,411",,-112,-112,892,892,892,134,134,134,201,201,201,989,989,989,"22,453","22,453","22,453"
D8,1,,"128,400","128,400","128,400","93,649","93,649","93,649","72,610","72,610","72,610",41,41,41,,-5,-5,"1,205","1,205","1,205",30,30,30,"1,918","1,918","1,918",70,70,70,317,317,317,969,969,969,236,236,236,"2,541","2,541","2,541","22,657","22,657","22,657"
D9,1,,"122,180","122,180","122,180","89,631","89,631","89,631","57,931","57,931","57,931",,-82,-82,89,89,89,"1,445","1,445","1,445",77,77,77,"7,197","7,197","7,197",,-54,-54,519,519,519,528,528,528,214,214,214,"1,886","1,886","1,886","22,876","22,876","22,876"
D10,1,,"113,035","113,035","113,035","84,981","84,981","84,981","38,084","38,085","38,085",,-46,-46,18,18,18,755,755,755,105,105,105,"5,575","5,575","5,575",42,42,42,390,390,390,785,785,785,119,119,119,"2,155","2,155","2,155","23,163","23,163","23,163"
D11,1,,"121,453","121,453","121,453","86,806","86,806","86,806","87,038","87,038","87,038",,-232,-232,80,80,80,"2,274","2,274","2,274",157,157,157,"12,149","12,149","12,149",,-256,-256,799,799,799,956,956,956,436,436,436,"2,853","2,853","2,853","23,406","23,406","23,406"
D12,1,,"126,638","126,638","126,638","88,697","88,697","88,697","65,003","65,003","65,003",173,173,173,38,38,38,891,891,891,7,7,7,"4,298","4,298","4,298",89,89,89,763,763,763,727,727,727,146,146,146,"1,711","1,711","1,711","23,616","23,616","23,616"
E3,1,,"116,689","116,689","116,689","87,098","87,098","87,098","53,167","53,167","53,167",,-29,-29,,-12,-12,"1,718","1,718","1,718",95,95,95,"7,310","7,310","7,310",,-45,-45,636,636,636,157,157,157,200,200,200,"1,376","1,376","1,376","25,943","25,943","25,943"
E4,1,,"92,488","92,488","92,488","85,261","85,261","85,261","74,079","74,079","74,079",,-5,-5,2,2,2,"1,352","1,352","1,352",73,73,73,"3,312","3,312","3,312",5,5,5,954,954,954,439,439,439,206,206,206,"2,018","2,018","2,018","25,725","25,725","25,725"
