Plate 1,1,2,3,4,5,6,7,8,9,10,11,12
A,1_A3,1_A4,1_A6,1_A8,1_A9,1_A11,1_A12,1_B1,1_B3,1_B4,1_B5,1_B6
B,1_B7,1_B8,1_B9,1_B10,1_B11,1_B12,1_C2,1_C3,1_C4,1_C5,1_C9,1_C10
C,1_C11,1_C12,1_D2,1_D3,1_D5,1_D6,1_D8,1_D10,1_D11,1_D12,1_E2,1_E4
D,1_E5,1_E7,1_E8,1_E9,1_E11,1_E12,1_F1,1_F2,1_F3,1_F4,1_F5,1_F6
E,1_F8,1_F9,1_F11,1_F12,1_G2,1_G3,1_G6,1_G8,1_G9,1_G10,1_G11,1_G12
F,1_H2,1_H3,1_H5,1_H6,1_H7,1_H8,1_H9,1_H10,2_A1,2_A2,2_A3,2_A4
G,2_A6,2_A7,2_A8,2_A9,2_A12,2_B1,2_B2,2_B3,2_B4,2_B5,2_B6,2_B7
H,2_B9,2_B10,2_B11,2_B12,2_C1,2_C3,2_C4,2_C5,2_C6,2_C7,2_C8,2_C9
,,,,,,,,,,,,
Plate 2,1,2,3,4,5,6,7,8,9,10,11,12
A,2_C10,2_C11,2_D1,2_D2,2_D3,2_D4,2_D5,2_D6,2_D7,2_D8,2_D9,2_D10
B,2_D11,2_D12,2_E4,2_E5,2_E7,2_E8,2_E10,2_F1,2_F2,2_F3,2_F4,2_F5
C,2_F6,2_F8,2_F11,2_F12,2_G3,2_G4,2_G6,2_G7,2_G10,2_G12,2_H1,2_H2
D,2_H3,2_H6,2_H7,2_H9,2_H10,2_H12,3_A1,3_A2,3_A3,3_A4,3_A6,3_A7
E,3_A8,3_A9,3_A10,3_A11,3_B1,3_B2,3_B4,3_B5,3_B6,3_B7,3_B8,3_B9
F,3_B12,3_C1,3_C3,3_C4,3_C5,3_C6,3_C7,3_C8,3_C10,3_C11,3_C12,3_D3
G,3_D4,3_D5,3_D6,3_D8,3_D9,3_D11,3_E2,3_E3,3_E4,3_E5,3_E7,3_E9
H,3_E10,3_E12,3_F1,3_F3,3_F5,3_F6,3_F7,3_F8,3_F10,3_F11,3_F12,3_G2
,,,,,,,,,,,,
Plate 3,1,2,3,4,5,6,7,8,9,10,11,12
A,3_G4,3_G5,3_G6,3_G7,3_G8,3_G9,3_G10,3_G12,3_H2,3_H4,3_H5,3_H6
B,3_H8,3_H12,4_A1,4_A2,4_A4,4_A8,4_A9,4_A10,4_A11,4_A12,4_B2,4_B3
C,4_C1,4_C2,4_C3,4_C4,4_C5,4_C6,4_C7,4_C8,4_B4,4_B5,4_B6,4_B7
D,4_B8,4_B9,4_B10,4_B11,4_C9,4_C11,4_D1,4_D2,4_D3,4_D5,4_D6,4_D11
E,4_E1,5_A2,5_A3,5_A4,5_A7,5_A9,5_A10,5_A11,5_B3,5_B5,5_B6,5_B8
F,5_B9,5_B10,5_C1,5_C2,5_C4,5_C5,5_C7,5_C8,5_C9,5_C10,5_C11,5_C12
G,5_D1,5_D2,5_D3,5_D4,5_D5,5_D6,5_D7,5_D9,5_D10,5_D12,5_E1,5_E5
H,5_E6,5_E9,5_E11,5_E12,5_F2,5_F3,5_F4,5_F7,5_F8,5_F9,5_F10,5_F11
,,,,,,,,,,,,
Plate 4,1,2,3,4,5,6,7,8,9,10,11,12
A,5_G1,5_G2,5_G4,5_G5,5_G6,5_G7,5_G9,5_G10,5_G11,5_G12,5_H2,5_H3
B,5_H4,5_H5,5_H6,5_H7,5_H8,5_H9,5_H10,5_H11,6_A1,6_A4,6_A5,6_A7
C,6_A9,6_A11,6_B1,6_B6,6_B8,6_B10,6_B11,6_B12,6_C11,6_D1,6_D2,6_D4
D,6_D6,6_D7,6_D8,6_D10,6_D11,6_D12,6_E1,6_E2,6_E3,6_E4,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
